x_deg,y_deg,z_deg,n_frames,mean_opt_loss,median_opt_loss,std_opt_loss,mean_init_loss
-45.0,45.0,0.0,73,0.008992072194814682,0.00903636496514082,0.0016692407662048936,0.012218138203024864
135.0,135.0,180.0,73,0.008992072194814682,0.00903636496514082,0.0016692407662048936,0.012218138203024864
-90.0,0.0,-135.0,73,0.009455643594264984,0.010432320646941662,0.0028426970820873976,0.01581207662820816
90.0,-180.0,45.0,73,0.009455643594264984,0.010432320646941662,0.0028426970820873976,0.01581207662820816
90.0,180.0,45.0,73,0.009455643594264984,0.010432320646941662,0.0028426970820873976,0.01581207662820816
-45.0,-180.0,135.0,73,0.009516165591776371,0.010553207248449326,0.002974672010168433,0.012259704060852528
-45.0,180.0,135.0,73,0.009516165591776371,0.010553207248449326,0.002974672010168433,0.012259704060852528
135.0,0.0,-45.0,73,0.009516165591776371,0.010553207248449326,0.002974672010168433,0.012259704060852528
-135.0,0.0,-45.0,73,0.00996383186429739,0.010396372526884079,0.002601735293865204,0.018828939646482468
45.0,-180.0,135.0,73,0.00996383186429739,0.010396372526884079,0.002601735293865204,0.018828939646482468
45.0,180.0,135.0,73,0.00996383186429739,0.010396372526884079,0.002601735293865204,0.018828939646482468
-180.0,0.0,-45.0,73,0.010140130296349525,0.01094062626361847,0.0030145172495394945,0.016331719234585762
0.0,-180.0,135.0,73,0.010140130296349525,0.01094062626361847,0.0030145172495394945,0.016331719234585762
0.0,180.0,135.0,73,0.010140130296349525,0.01094062626361847,0.0030145172495394945,0.016331719234585762
180.0,0.0,-45.0,73,0.010140130296349525,0.01094062626361847,0.0030145172495394945,0.016331719234585762
-90.0,-135.0,90.0,73,0.010180190205574036,0.010568473488092422,0.0032729841768741608,0.01749812811613083
90.0,-45.0,-90.0,73,0.010180190205574036,0.010568473488092422,0.0032729841768741608,0.01749812811613083
-180.0,135.0,-135.0,73,0.010195903480052948,0.010314002633094788,0.0019523935625329614,0.01483569759875536
0.0,45.0,45.0,73,0.010195903480052948,0.010314002633094788,0.0019523935625329614,0.01483569759875536
180.0,135.0,-135.0,73,0.010195903480052948,0.010314002633094788,0.0019523935625329614,0.01483569759875536
-135.0,-180.0,45.0,73,0.010220352560281754,0.010156764648854733,0.001573891844600439,0.013933363370597363
-135.0,180.0,45.0,73,0.010220352560281754,0.010156764648854733,0.001573891844600439,0.013933363370597363
45.0,0.0,-135.0,73,0.010220352560281754,0.010156764648854733,0.001573891844600439,0.013933363370597363
-45.0,-135.0,90.0,73,0.010221267119050026,0.010289766825735569,0.003664740826934576,0.01804766245186329
